Name,Year,Durasi(Menit),Rating
Dune: Part Two,2024,166,PG-13
Road House,2024,121,R
The Beekeeper,2024,105,R
Damsel,2024,110,PG-13
Civil War,2024,109,R
Argylle,2024,139,PG-13
The Fall Guy,2024,126,PG-13
Madame Web,2024,116,PG-13
Godzilla x Kong: The New Empire,2024,115,PG-13
Challengers,2024,131,R
Murder Mubarak,2024,140,TV-MA
Teri Baaton Mein Aisa Uljha Jiya,2024,141,Not Rated
Monkey Man,2024,121,R
Fighter,2024,166,Not Rated
Ghostbusters: Frozen Empire,2024,115,PG-13
Shaitaan,2024,132,Not Rated
Rebel Moon - Part Two: The Scargiver,2024,122,PG-13
Ricky Stanicky,2024,113,R
Kung Fu Panda 4,2024,94,PG
Lift,2024,107,PG-13
Color of Victory,2024,157,Not Rated
Kingdom of the Planet of the Apes,2024,145,PG-13
The Idea of You,2024,115,R
Abigail,2024,109,R
Bade Miyan Chote Miyan,2024,163,Not Rated
Spaceman,2024,107,R
The Ministry of Ungentlemanly Warfare,2024,120,R
Madgaon Express,2024,143,Not Rated
Mean Girls,2024,112,PG-13
Furiosa: A Mad Max Saga,2024,148,R
Crew,2024,118,Not Rated
Merry Christmas,2024,144,Not Rated
Immaculate,2024,89,R
Hanu Man,2024,158,Not Rated
Bob Marley: One Love,2024,107,PG-13
Love Lies Bleeding,2024,104,R
Unfrosted,2024,97,PG-13
Land of Bad,2024,113,R
Upgraded,2024,104,R
Guntur Kaaram,2024,159,Not Rated
Article 370,2024,158,Not Rated
Night Swim,2024,98,PG-13
Lisa Frankenstein,2024,101,PG-13
Now or Never!,2024,0,Not Rated
Role Play,2024,100,R
Irish Wish,2024,93,TV-PG
Scoop,2024,102,TV-14
Manjummel Boys,2024,135,Not Rated
Maidaan,2024,181,Not Rated
The First Omen,2024,119,R
